pr,title,sha,base_branch,kind,start_at,end_at,status,duration_seconds,npu_queue_seconds,approximate,critical_workflow,missing,pr_url,action_url
2143,[CI](chore) Bundle the BishengIR compiler into the wheel,f3d9992b94611a62cec114a04a5e4cf84d870f6f,main-dev,rerun,2026-09-20T16:01:15Z,2026-09-21T07:12:58Z,success,54703.0,145.0,True,Integration Tests,,https://github.com/triton-lang/triton-ascend/pull/2143,https://github.com/triton-lang/triton-ascend/actions/runs/35521377373
2307,[DiscreteMask](fix) atomic_rmw with cont ptr and disc mask using SIMD,11d9fba0beb1e46b173a90ce6fb83439125d4220,main-dev,initial,2026-09-21T06:47:43Z,2026-09-21T07:04:51Z,success,1028.0,148.0,True,Integration Tests,,https://github.com/triton-lang/triton-ascend/pull/2307,https://github.com/triton-lang/triton-ascend/actions/runs/35570009961
2317,[simd_simt](fix) fix FlagGems compile failures on the simd_simt branch,5e80ac07b28015f216acc3715e9ec0945afd5378,feature/simd-simt-compile-mode,initial,2026-09-21T06:48:16Z,2026-09-21T06:59:39Z,failure,683.0,169.0,True,Integration Tests,,https://github.com/triton-lang/triton-ascend/pull/2317,https://github.com/triton-lang/triton-ascend/actions/runs/35570049692
2168,[ssbuffer](fix) memref generators no longer considered as writer,7feb2240663dcf6c3c1ffd08dc7c67eb286b3c4d,main-dev,initial,2026-09-21T06:55:37Z,2026-09-22T06:56:10Z,cancelled,86433.0,263.0,True,Auto labeling,,https://github.com/triton-lang/triton-ascend/pull/2168,https://github.com/triton-lang/triton-ascend/actions/runs/35570566542
2317,[simd_simt](fix) fix FlagGems compile failures on the simd_simt branch,4d204462cdea9ac5ce87fd97c36b07fc0b96e82b,feature/simd-simt-compile-mode,initial,2026-09-21T06:59:16Z,2026-09-21T07:18:08Z,failure,1132.0,42.0,True,Ascend950 CI,部分 workflow 的 job 明细未采集,https://github.com/triton-lang/triton-ascend/pull/2317,https://github.com/triton-lang/triton-ascend/actions/runs/35570823826
2308,[ssbuffer](fix) add unable scenarios of mergecube,e3e70c5d1ebc6c14752559e5e0687a031540a5cd,main-dev,initial,2026-09-21T07:03:01Z,2026-09-21T07:09:00Z,cancelled,359.0,109.0,True,Integration Tests,,https://github.com/triton-lang/triton-ascend/pull/2308,https://github.com/triton-lang/triton-ascend/actions/runs/35571112821
2308,[ssbuffer](fix) add unable scenarios of mergecube,73b3c46a1575b089928652743331d5eb8ac9beb6,main-dev,initial,2026-09-21T07:07:07Z,2026-09-21T07:41:42Z,failure,2075.0,263.0,True,DynamicCVPipeline PreCheck Tests,,https://github.com/triton-lang/triton-ascend/pull/2308,https://github.com/triton-lang/triton-ascend/actions/runs/35571430578
2318,[ssbuffer](fix) fill init process,1b26a9e7c40c8ed06d736c3b851a42be32b9b2c2,main-dev,initial,2026-09-21T07:07:35Z,2026-09-21T07:30:10Z,success,1355.0,27.0,True,Integration Tests,,https://github.com/triton-lang/triton-ascend/pull/2318,https://github.com/triton-lang/triton-ascend/actions/runs/35571468869
2317,[simd_simt](fix) fix FlagGems compile failures on the simd_simt branch,51bfa258d0fecce14780b1250ec96a0e5c1d14b0,feature/simd-simt-compile-mode,initial,2026-09-21T07:18:01Z,2026-09-21T07:51:30Z,failure,2009.0,62.0,True,Ascend950 CI,部分 workflow 的 job 明细未采集,https://github.com/triton-lang/triton-ascend/pull/2317,https://github.com/triton-lang/triton-ascend/actions/runs/35572314118
2313,[dtype](fix) add dtype check,48b42c363b956141021e9af4c769b9904ae61d22,main-dev,initial,2026-09-21T07:36:38Z,2026-09-21T07:54:33Z,success,1075.0,35.0,True,Integration Tests,,https://github.com/triton-lang/triton-ascend/pull/2313,https://github.com/triton-lang/triton-ascend/actions/runs/35573773267
